EMP_ID,EMPLOYEE_NAME,DISTRICT_ID,DISTRICT_NAME,ZIPCODE,HIREDATE,HIGHEST_EARNED_DEGREE,IS_ADMIN,IS_TEACHER,EDU_EMAIL,PREVIOUS_EXPERIENCE_YEARS,years_of_service,total_experience,seniority_level,promotion_eligible,TAX_YEAR,REG_PAY,OVERTIME_PAY,OTHER_PAY,TOTAL_BENEFITS,total_compensation,DATE_LAST_CALC,_gold_ingested_at
10033,Merry Schott,4,San Francisco Unified,94110,1993-03-01,Bachelor   ,FALSE,TRUE,mschot94@k12.ca.edu,1,33,34,Senior,TRUE,2014,25050,0,5932,9915,40897,2015-05-25,2026-05-02 17:38:12
10036,Gleda Keenan,4,San Francisco Unified,94110,1997-10-31,Bachelor   ,FALSE,TRUE,gkeena87@k12.ca.edu,3,28,31,Senior,TRUE,2014,68253,0,9976,16920,95149,2015-03-20,2026-05-02 17:38:12
10037,Elyssa Saakwa-mante,4,San Francisco Unified,94110,2002-09-05,Bachelor   ,FALSE,TRUE,esaakw47@k12.ca.edu,2,23,25,Senior,TRUE,2014,48401,0,10790,14752,73943,2015-06-11,2026-05-02 17:38:12
10039,Mela Corfas,1,Ontario-Montclair,91763,2015-07-24,Bachelor   ,TRUE,FALSE,mcorfa62@k12.ca.edu,5,10,15,Mid-Senior,TRUE,2014,98992,0,633,16082,115707,2014-12-17,2026-05-02 17:38:12
10042,Anatollo Gold,4,San Francisco Unified,94110,1995-05-11,Bachelor   ,FALSE,TRUE,agold23@k12.ca.edu,1,30,31,Senior,TRUE,2014,23927,0,31510,11891,67328,2015-06-30,2026-05-02 17:38:12
10043,Brion Menten,4,San Francisco Unified,94110,2015-03-12,High School,FALSE,FALSE,bmente11@k12.ca.edu,2,11,13,Mid-Senior,TRUE,2014,40750,3871,10546,27372,82539,2015-05-23,2026-05-02 17:38:12
10045,Cora Boneck,2,Compton Unified,90262,2010-02-02,Master     ,FALSE,TRUE,cbonec32@k12.ca.edu,4,16,20,Mid-Senior,TRUE,2014,83402,1100,0,16561,101063,2014-12-13,2026-05-02 17:38:12
10049,Eldin Capozzoli,4,San Francisco Unified,94110,2004-02-24,High School,FALSE,FALSE,ecapoz17@k12.ca.edu,2,22,24,Senior,TRUE,2014,30501,1497,11096,19110,62204,2015-08-25,2026-05-02 17:38:12
10055,Sheffie Runyan,4,San Francisco Unified,94110,1993-12-26,Bachelor   ,FALSE,TRUE,srunya1@k12.ca.edu,4,32,36,Senior,TRUE,2014,74196,0,6044,17134,97374,2015-03-12,2026-05-02 17:38:12
10060,Dre Blotner,4,San Francisco Unified,94110,1998-07-18,Bachelor   ,TRUE,FALSE,dblotn70@k12.ca.edu,5,27,32,Senior,TRUE,2014,107070,0,4652,19266,130988,2015-02-17,2026-05-02 17:38:12
10068,Adolph Metaxas,4,San Francisco Unified,94110,2008-10-30,Bachelor   ,FALSE,TRUE,ametax48@k12.ca.edu,1,17,18,Mid-Senior,TRUE,2014,29056,0,400,2517,31973,2015-03-02,2026-05-02 17:38:12
10069,Cooper Bordignon,4,San Francisco Unified,94110,2010-10-12,Bachelor   ,FALSE,TRUE,cbordi2@k12.ca.edu,1,15,16,Mid-Senior,TRUE,2014,14306,0,1145,1372,16823,2015-05-20,2026-05-02 17:38:12
10076,Patin Horrell,4,San Francisco Unified,94110,1991-08-12,Bachelor   ,TRUE,FALSE,phorre46@k12.ca.edu,5,34,39,Senior,TRUE,2014,92655,0,7639,18843,119137,2015-01-31,2026-05-02 17:38:12
10077,Tanny Figel,1,Ontario-Montclair,91763,1992-01-31,Master     ,FALSE,TRUE,tfigel58@k12.ca.edu,4,34,38,Senior,TRUE,2014,73858,0,807,21697,96362,2014-11-23,2026-05-02 17:38:12
10079,Correy Grusby,2,Compton Unified,90262,2006-11-20,Bachelor   ,FALSE,TRUE,cgrusb46@k12.ca.edu,4,19,23,Mid-Senior,TRUE,2014,76516,1116,0,6575,84207,2015-02-17,2026-05-02 17:38:12
10088,Essy Baraka,3,Beverly Hills Unified,90212,1994-02-04,Bachelor   ,FALSE,TRUE,ebarak65@k12.ca.edu,2,32,34,Senior,TRUE,2014,39003,0,3369,7696,50068,2015-03-30,2026-05-02 17:38:12
10091,Gilburt Bruhn,2,Compton Unified,90262,1996-05-05,Bachelor   ,FALSE,TRUE,gbruhn7@k12.ca.edu,3,29,32,Senior,TRUE,2014,65271,2969,0,11660,79900,2015-06-22,2026-05-02 17:38:12
10098,Emalee Guss,4,San Francisco Unified,94110,2004-04-23,Bachelor   ,FALSE,TRUE,eguss1@k12.ca.edu,1,22,23,Senior,TRUE,2014,10508,0,1906,1297,13711,2015-01-01,2026-05-02 17:38:12
10103,Chet Ouchida,3,Beverly Hills Unified,90212,1993-11-06,Master     ,FALSE,TRUE,couchi82@k12.ca.edu,5,32,37,Senior,TRUE,2014,92616,0,960,22563,116139,2015-07-07,2026-05-02 17:38:12
10105,Marven Devich,4,San Francisco Unified,94110,2004-08-31,Bachelor   ,FALSE,TRUE,mdevic6@k12.ca.edu,3,21,24,Senior,TRUE,2014,65453,0,9150,16617,91220,2014-12-04,2026-05-02 17:38:12
10107,Giovanna Balster,4,San Francisco Unified,94110,2011-02-19,Bachelor   ,FALSE,TRUE,gbalst73@k12.ca.edu,2,15,17,Mid-Senior,TRUE,2014,44053,0,15506,12328,71887,2014-11-24,2026-05-02 17:38:12
10135,Natalya Maccurtain,4,San Francisco Unified,94110,2014-04-02,Bachelor   ,FALSE,TRUE,nmaccu15@k12.ca.edu,3,12,15,Mid-Senior,TRUE,2014,58589,0,23450,14209,96248,2015-07-08,2026-05-02 17:38:12
10140,Tamas Lans,2,Compton Unified,90262,2007-04-14,Bachelor   ,FALSE,TRUE,tlans92@k12.ca.edu,4,19,23,Mid-Senior,TRUE,2014,70453,3796,0,6282,80531,2015-01-23,2026-05-02 17:38:12
10150,Gilles Holdcraft,1,Ontario-Montclair,91763,2002-01-01,Bachelor   ,TRUE,FALSE,gholdc96@k12.ca.edu,5,24,29,Senior,TRUE,2014,94762,0,0,12573,107335,2015-07-05,2026-05-02 17:38:12
10151,Verla Weisert,1,Ontario-Montclair,91763,2005-11-24,Bachelor   ,TRUE,FALSE,vweise74@k12.ca.edu,4,20,24,Senior,TRUE,2014,84788,0,3685,10518,98991,2015-05-24,2026-05-02 17:38:12
10152,Boyce Melville,1,Ontario-Montclair,91763,1996-08-30,Master     ,FALSE,TRUE,bmelvi54@k12.ca.edu,4,29,33,Senior,TRUE,2014,78636,0,444,18261,97341,2015-03-16,2026-05-02 17:38:12
10155,Clerkclaude Southey,4,San Francisco Unified,94110,1996-06-23,Bachelor   ,FALSE,TRUE,csouth72@k12.ca.edu,2,29,31,Senior,TRUE,2014,45300,0,8443,11823,65566,2015-08-09,2026-05-02 17:38:12
10162,Simonne Goetsch,4,San Francisco Unified,94110,2006-12-26,Master     ,TRUE,FALSE,sgoets33@k12.ca.edu,4,19,23,Mid-Senior,TRUE,2014,85855,0,11033,15534,112422,2015-09-14,2026-05-02 17:38:12
10166,Zedekiah Iakovou,3,Beverly Hills Unified,90212,2013-05-14,Bachelor   ,FALSE,TRUE,ziakov70@k12.ca.edu,1,12,13,Mid-Senior,TRUE,2014,13153,0,0,1120,14273,2015-04-06,2026-05-02 17:38:12
10167,Bram Farneti,2,Compton Unified,90262,1992-12-07,Master     ,FALSE,TRUE,bfarne13@k12.ca.edu,5,33,38,Senior,TRUE,2014,90471,1816,0,11133,103420,2014-12-16,2026-05-02 17:38:12
10169,Ralf Cabot,4,San Francisco Unified,94110,2005-07-10,Bachelor   ,TRUE,FALSE,rcabot39@k12.ca.edu,3,20,23,Senior,TRUE,2014,60098,0,8952,29542,98592,2015-05-21,2026-05-02 17:38:12
10172,Ludovico Kissida,4,San Francisco Unified,94110,2000-07-21,Bachelor   ,TRUE,FALSE,lkissi44@k12.ca.edu,2,25,27,Senior,TRUE,2014,42532,0,3627,8951,55110,2015-03-31,2026-05-02 17:38:12
10178,Ker Keselman,4,San Francisco Unified,94110,2015-04-09,Bachelor   ,TRUE,FALSE,kkesel80@k12.ca.edu,3,11,14,Mid-Senior,TRUE,2014,56393,0,18392,12259,87044,2015-02-10,2026-05-02 17:38:12
10184,Giovanna Coppi,1,Ontario-Montclair,91763,1999-08-08,Bachelor   ,FALSE,TRUE,gcoppi95@k12.ca.edu,1,26,27,Senior,TRUE,2014,11321,0,161,4050,15532,2015-01-04,2026-05-02 17:38:12
10202,Bibby Miao,4,San Francisco Unified,94110,2010-12-15,Bachelor   ,FALSE,TRUE,bmiao50@k12.ca.edu,3,15,18,Mid-Senior,TRUE,2014,51218,0,15486,6772,73476,2015-07-30,2026-05-02 17:38:12
10204,Hilde Kindlund,1,Ontario-Montclair,91763,2005-02-15,Master     ,FALSE,TRUE,hkindl37@k12.ca.edu,4,21,25,Senior,TRUE,2014,81065,0,1238,7435,89738,2015-04-17,2026-05-02 17:38:12
10206,Bo Silvera,1,Ontario-Montclair,91763,1994-04-23,Master     ,FALSE,TRUE,bsilve21@k12.ca.edu,4,32,36,Senior,TRUE,2014,84545,0,285,22579,107409,2015-01-18,2026-05-02 17:38:12
10210,Wyndham Brand,4,San Francisco Unified,94110,1993-10-18,Bachelor   ,FALSE,TRUE,wbrand21@k12.ca.edu,2,32,34,Senior,TRUE,2014,45400,0,5788,11609,62797,2015-04-18,2026-05-02 17:38:12
10217,Maryrose Pelikan,4,San Francisco Unified,94110,2007-07-01,Bachelor   ,FALSE,TRUE,mpelik89@k12.ca.edu,4,18,22,Mid-Senior,TRUE,2014,75026,0,8257,14384,97667,2015-07-27,2026-05-02 17:38:12
10218,Tris Moncrieff,3,Beverly Hills Unified,90212,1994-08-12,Bachelor   ,FALSE,TRUE,tmoncr21@k12.ca.edu,4,31,35,Senior,TRUE,2014,78970,0,-84,13785,92671,2015-03-08,2026-05-02 17:38:12
10219,Hailey Reid,4,San Francisco Unified,94110,1992-06-10,Bachelor   ,FALSE,TRUE,hreid52@k12.ca.edu,3,33,36,Senior,TRUE,2014,61174,0,5113,12876,79163,2015-01-01,2026-05-02 17:38:12
10222,Johnna Soibelman,4,San Francisco Unified,94110,1999-07-23,Bachelor   ,FALSE,TRUE,jsoibe23@k12.ca.edu,4,26,30,Senior,TRUE,2014,76125,0,13540,14924,104589,2015-05-14,2026-05-02 17:38:12
10228,Valencia Feynman,2,Compton Unified,90262,1995-09-17,Bachelor   ,TRUE,FALSE,vfeynm50@k12.ca.edu,3,30,33,Senior,TRUE,2014,54590,1024,0,15721,71335,2015-04-16,2026-05-02 17:38:12
10233,Thayne Gasset,3,Beverly Hills Unified,90212,2014-07-15,Bachelor   ,FALSE,TRUE,tgasse41@k12.ca.edu,4,11,15,Mid-Senior,TRUE,2014,89220,0,40,14671,103931,2014-12-24,2026-05-02 17:38:12
10238,Cari Elrod,4,San Francisco Unified,94110,2013-04-16,Bachelor   ,FALSE,TRUE,celrod42@k12.ca.edu,2,13,15,Mid-Senior,TRUE,2014,42064,0,20173,12526,74763,2015-05-13,2026-05-02 17:38:12
10239,Oriana Remington,4,San Francisco Unified,94110,2005-09-03,Bachelor   ,FALSE,TRUE,oremin8@k12.ca.edu,1,20,21,Senior,TRUE,2014,14870,0,1131,4342,20343,2015-07-23,2026-05-02 17:38:12
10240,Issiah Moody,1,Ontario-Montclair,91763,2008-06-22,Bachelor   ,FALSE,FALSE,imoody74@k12.ca.edu,2,17,19,Mid-Senior,TRUE,2014,48005,1042,8423,12993,70463,2015-04-17,2026-05-02 17:38:12
10241,Gavin Verdirosi,4,San Francisco Unified,94110,1997-12-12,High School,FALSE,FALSE,gverdi76@k12.ca.edu,2,28,30,Senior,TRUE,2014,44600,370,6170,13097,64237,2015-02-28,2026-05-02 17:38:12
10243,Lyman Vanyo,4,San Francisco Unified,94110,2004-12-28,Bachelor   ,FALSE,TRUE,lvanyo88@k12.ca.edu,4,21,25,Senior,TRUE,2014,74868,0,10231,14500,99599,2015-01-27,2026-05-02 17:38:12
10245,Carmel Busetta,1,Ontario-Montclair,91763,1996-06-03,Master     ,FALSE,TRUE,cbuset58@k12.ca.edu,4,29,33,Senior,TRUE,2014,85818,0,1543,13961,101322,2014-12-28,2026-05-02 17:38:12
10252,Nertie Connelly,4,San Francisco Unified,94110,2009-02-25,Bachelor   ,FALSE,TRUE,nconne12@k12.ca.edu,3,17,20,Mid-Senior,TRUE,2014,66398,0,11088,16306,93792,2014-12-03,2026-05-02 17:38:12
10257,Herrick Viens,4,San Francisco Unified,94110,2005-10-17,Bachelor   ,FALSE,TRUE,hviens13@k12.ca.edu,1,20,21,Senior,TRUE,2014,23163,0,2850,4913,30926,2015-03-09,2026-05-02 17:38:12
10259,Forest Aghayan,1,Ontario-Montclair,91763,1992-03-07,Bachelor   ,TRUE,FALSE,faghay93@k12.ca.edu,2,34,36,Senior,TRUE,2014,35657,3,560,10110,46330,2014-11-16,2026-05-02 17:38:12
10296,Billie Oostendorp,2,Compton Unified,90262,2009-10-25,Master     ,FALSE,TRUE,booste97@k12.ca.edu,5,16,21,Mid-Senior,TRUE,2014,90471,2503,0,11193,104167,2015-03-14,2026-05-02 17:38:12
10297,Poul Stamps,2,Compton Unified,90262,1999-04-27,Bachelor   ,FALSE,FALSE,pstamp70@k12.ca.edu,4,27,31,Senior,TRUE,2014,87538,0,0,16527,104065,2015-06-22,2026-05-02 17:38:12
10300,Sascha Dilday,2,Compton Unified,90262,2005-11-19,Master     ,FALSE,TRUE,sdilda50@k12.ca.edu,4,20,24,Senior,TRUE,2014,72119,2081,0,15687,89887,2015-02-20,2026-05-02 17:38:12
10302,Porty Jardine-martel,4,San Francisco Unified,94110,1992-09-16,Bachelor   ,FALSE,FALSE,pjardi88@k12.ca.edu,4,33,37,Senior,TRUE,2014,71100,0,5998,13811,90909,2015-01-09,2026-05-02 17:38:12
10304,Alick Napolilli,4,San Francisco Unified,94110,2006-02-27,Bachelor   ,TRUE,FALSE,anapol65@k12.ca.edu,4,20,24,Senior,TRUE,2014,84681,0,5452,8011,98144,2015-02-09,2026-05-02 17:38:12
10309,Noelyn Spaziani,2,Compton Unified,90262,2002-12-28,Bachelor   ,TRUE,FALSE,nspazi55@k12.ca.edu,6,23,29,Senior,TRUE,2014,124065,0,0,13405,137470,2015-08-12,2026-05-02 17:38:12
10310,Hoebart Lopes,4,San Francisco Unified,94110,2004-01-19,Bachelor   ,FALSE,TRUE,hlopes21@k12.ca.edu,3,22,25,Senior,TRUE,2014,66381,0,7768,14007,88156,2015-03-15,2026-05-02 17:38:12
10320,Rogerio Saville,2,Compton Unified,90262,2003-03-28,Master     ,FALSE,TRUE,rsavil58@k12.ca.edu,4,23,27,Senior,TRUE,2014,87624,2551,0,17049,107224,2015-02-05,2026-05-02 17:38:12
10328,Percival Pinca,1,Ontario-Montclair,91763,1999-01-27,Bachelor   ,TRUE,FALSE,ppinca37@k12.ca.edu,2,27,29,Senior,TRUE,2014,49580,0,299,12373,62252,2015-05-25,2026-05-02 17:38:12
10332,Deva Schwyzer,4,San Francisco Unified,94110,2012-03-10,Bachelor   ,FALSE,TRUE,dschwy90@k12.ca.edu,4,14,18,Mid-Senior,TRUE,2014,71844,0,13208,25770,110822,2015-02-25,2026-05-02 17:38:12
10335,Reiko Szentgyorgyi,1,Ontario-Montclair,91763,2007-08-31,Master     ,FALSE,TRUE,rszent29@k12.ca.edu,4,18,22,Mid-Senior,TRUE,2014,85818,0,2440,13395,101653,2015-01-05,2026-05-02 17:38:12
10341,Nicolas Zappa,4,San Francisco Unified,94110,2014-06-07,Bachelor   ,FALSE,TRUE,nzappa73@k12.ca.edu,4,11,15,Mid-Senior,TRUE,2014,72016,0,7389,14013,93418,2015-03-25,2026-05-02 17:38:12
10351,Tiffi Goldberg,1,Ontario-Montclair,91763,2008-05-17,Bachelor   ,FALSE,TRUE,tgoldb19@k12.ca.edu,2,17,19,Mid-Senior,TRUE,2014,43668,0,942,9489,54099,2015-06-05,2026-05-02 17:38:12
10364,Lyda Voligny,2,Compton Unified,90262,1994-11-02,Bachelor   ,FALSE,TRUE,lvolig37@k12.ca.edu,3,31,34,Senior,TRUE,2014,69652,1641,0,9355,80648,2015-03-07,2026-05-02 17:38:12
10366,Titus Burkholder,4,San Francisco Unified,94110,1995-12-18,Bachelor   ,FALSE,TRUE,tburkh74@k12.ca.edu,2,30,32,Senior,TRUE,2014,43668,0,12620,11384,67672,2014-11-30,2026-05-02 17:38:12
10373,Rivalee Tiffney,4,San Francisco Unified,94110,1994-01-21,Bachelor   ,TRUE,FALSE,rtiffn80@k12.ca.edu,4,32,36,Senior,TRUE,2014,70401,0,11284,14055,95740,2015-06-17,2026-05-02 17:38:12
10376,Marita Mcclure,4,San Francisco Unified,94110,1995-12-16,Bachelor   ,FALSE,TRUE,mmcclu62@k12.ca.edu,3,30,33,Senior,TRUE,2014,51680,0,14407,15881,81968,2015-02-18,2026-05-02 17:38:12
10377,Ammamaria Shipp,3,Beverly Hills Unified,90212,2014-09-02,Bachelor   ,FALSE,TRUE,ashipp95@k12.ca.edu,4,11,15,Mid-Senior,TRUE,2014,73893,0,80,7852,81825,2015-07-01,2026-05-02 17:38:12
10379,Martina Platais,4,San Francisco Unified,94110,2002-02-06,Bachelor   ,FALSE,TRUE,mplata50@k12.ca.edu,1,24,25,Senior,TRUE,2014,22470,0,1588,1726,25784,2015-05-08,2026-05-02 17:38:12
10384,Seymour Simonoff,1,Ontario-Montclair,91763,1999-03-14,Master     ,FALSE,TRUE,ssimon52@k12.ca.edu,4,27,31,Senior,TRUE,2014,87335,0,231,18979,106545,2015-03-16,2026-05-02 17:38:12
10385,Kirsteni Fearnley,3,Beverly Hills Unified,90212,2006-04-15,Bachelor   ,FALSE,TRUE,kfearn19@k12.ca.edu,5,20,25,Senior,TRUE,2014,91880,0,0,14265,106145,2015-08-29,2026-05-02 17:38:12
10388,Cassaundra Blanchette,1,Ontario-Montclair,91763,1993-09-01,Bachelor   ,FALSE,TRUE,cblanc77@k12.ca.edu,3,32,35,Senior,TRUE,2014,67436,0,83,17337,84856,2015-01-24,2026-05-02 17:38:12
10391,Dani Waring,1,Ontario-Montclair,91763,1996-01-06,Bachelor   ,FALSE,TRUE,dwarin48@k12.ca.edu,3,30,33,Senior,TRUE,2014,69683,0,1835,6496,78014,2014-12-26,2026-05-02 17:38:12
10397,Lori Barrant,3,Beverly Hills Unified,90212,2006-12-17,Bachelor   ,FALSE,TRUE,lbarra51@k12.ca.edu,4,19,23,Mid-Senior,TRUE,2014,70733,0,80,13106,83919,2015-06-01,2026-05-02 17:38:12
10404,Eddie Baraka,2,Compton Unified,90262,1996-05-14,Master     ,FALSE,TRUE,ebarak47@k12.ca.edu,4,29,33,Senior,TRUE,2014,79290,799,0,9434,89523,2014-11-19,2026-05-02 17:38:12
10409,Clint Allyn,4,San Francisco Unified,94110,1994-04-25,Bachelor   ,FALSE,TRUE,callyn17@k12.ca.edu,3,32,35,Senior,TRUE,2014,62462,0,9943,16192,88597,2015-03-20,2026-05-02 17:38:12
10411,Genvieve Hanselman,4,San Francisco Unified,94110,2013-03-20,Bachelor   ,FALSE,TRUE,ghanse81@k12.ca.edu,3,13,16,Mid-Senior,TRUE,2014,60515,0,8499,13132,82146,2015-05-19,2026-05-02 17:38:12
10420,Joshia Conklin,2,Compton Unified,90262,1992-12-11,Master     ,FALSE,TRUE,jconkl67@k12.ca.edu,5,33,38,Senior,TRUE,2014,90947,464,0,17152,108563,2015-03-23,2026-05-02 17:38:12
10422,Merrick Shatkin,1,Ontario-Montclair,91763,2013-08-10,Bachelor   ,TRUE,FALSE,mshatk78@k12.ca.edu,2,12,14,Mid-Senior,TRUE,2014,49181,7,3342,8977,61507,2014-12-06,2026-05-02 17:38:12
10433,Jae Baleja,2,Compton Unified,90262,1992-07-26,Master     ,FALSE,TRUE,jbalej59@k12.ca.edu,5,33,38,Senior,TRUE,2014,90471,2015,0,17238,109724,2015-03-08,2026-05-02 17:38:12
10434,Porty Durkee,4,San Francisco Unified,94104,1994-11-07,Bachelor   ,FALSE,FALSE,pdurke4@k12.ca.edu,3,31,34,Senior,TRUE,2014,67059,0,5616,13439,86114,2015-07-29,2026-05-02 17:38:12
10437,Teri Schucany,4,San Francisco Unified,94104,2003-04-27,Bachelor   ,FALSE,TRUE,tschuc55@k12.ca.edu,3,23,26,Senior,TRUE,2014,52518,0,10011,6418,68947,2015-01-14,2026-05-02 17:38:12
10441,Olimpia Sprat,4,San Francisco Unified,94104,2007-06-27,Bachelor   ,FALSE,TRUE,osprat40@k12.ca.edu,1,18,19,Mid-Senior,TRUE,2014,20114,0,200,0,20314,2015-06-14,2026-05-02 17:38:12
10442,Sheffield Stoppa,4,San Francisco Unified,94104,2004-08-09,Bachelor   ,FALSE,TRUE,sstopp24@k12.ca.edu,3,21,24,Senior,TRUE,2014,63387,0,6529,13204,83120,2015-01-23,2026-05-02 17:38:12
10458,Kevin Olivieri,4,San Francisco Unified,94104,2010-04-03,Bachelor   ,FALSE,FALSE,kolivi5@k12.ca.edu,3,16,19,Mid-Senior,TRUE,2014,68129,0,16206,14445,98780,2015-04-28,2026-05-02 17:38:12
10462,Trev Reynoso,4,San Francisco Unified,94104,2001-02-07,Bachelor   ,FALSE,TRUE,treyno15@k12.ca.edu,3,25,28,Senior,TRUE,2014,69844,0,12351,14248,96443,2014-11-24,2026-05-02 17:38:12
10470,Hermie Zombeck,2,Compton Unified,90262,1996-11-17,Master     ,FALSE,TRUE,hzombe84@k12.ca.edu,5,29,34,Senior,TRUE,2014,92400,2091,0,11309,105800,2015-03-09,2026-05-02 17:38:12
10476,Sallie Killip,3,Beverly Hills Unified,90212,1991-04-10,Bachelor   ,FALSE,TRUE,skilli0@k12.ca.edu,1,35,36,Senior,TRUE,2014,17480,0,0,1482,18962,2015-08-31,2026-05-02 17:38:12
10478,Tammy Caples,4,San Francisco Unified,94104,1993-03-31,Master     ,TRUE,FALSE,tcaple70@k12.ca.edu,4,33,37,Senior,TRUE,2014,88249,0,13294,9766,111309,2015-04-03,2026-05-02 17:38:12
10481,Danni Cabot,4,San Francisco Unified,94104,1994-07-14,Bachelor   ,TRUE,FALSE,dcabot45@k12.ca.edu,4,31,35,Senior,TRUE,2014,74201,0,12029,17658,103888,2015-04-22,2026-05-02 17:38:12
10485,Marty Posner,4,San Francisco Unified,94104,1993-10-11,Bachelor   ,TRUE,FALSE,mposne23@k12.ca.edu,2,32,34,Senior,TRUE,2014,43144,0,12411,22041,77596,2015-06-14,2026-05-02 17:38:12
10489,Selby Hillsbery,1,Ontario-Montclair,91763,2013-03-26,High School,FALSE,FALSE,shills93@k12.ca.edu,1,13,14,Mid-Senior,TRUE,2014,12809,155,172,4257,17393,2015-03-11,2026-05-02 17:38:12
10494,Micki Giddens,2,Compton Unified,90262,1997-02-13,Master     ,FALSE,TRUE,mgidde92@k12.ca.edu,4,29,33,Senior,TRUE,2014,83712,20278,0,15444,119434,2015-02-09,2026-05-02 17:38:12
10497,Leann Bretscher,4,San Francisco Unified,94104,2007-01-19,Bachelor   ,FALSE,TRUE,lbrets31@k12.ca.edu,3,19,22,Mid-Senior,TRUE,2014,52030,0,15728,13016,80774,2015-01-08,2026-05-02 17:38:12
10513,Matt Morani,4,San Francisco Unified,94104,1997-10-01,Bachelor   ,FALSE,TRUE,mmoran37@k12.ca.edu,3,28,31,Senior,TRUE,2014,64422,0,7846,14969,87237,2015-02-18,2026-05-02 17:38:12
10534,Bren Rundlett,1,Ontario-Montclair,91763,1995-05-07,Master     ,FALSE,TRUE,brundl87@k12.ca.edu,4,30,34,Senior,TRUE,2014,88608,0,767,13743,103118,2015-06-27,2026-05-02 17:38:12
10535,Tyne Teeter,1,Ontario-Montclair,91763,1991-01-20,Bachelor   ,FALSE,TRUE,tteete87@k12.ca.edu,4,35,39,Senior,TRUE,2014,77561,0,223,22002,99786,2015-01-20,2026-05-02 17:38:12
10538,Sallyanne Breyan,1,Ontario-Montclair,91763,2002-06-13,Master     ,FALSE,TRUE,sbreya33@k12.ca.edu,4,23,27,Senior,TRUE,2014,70710,0,1181,23694,95585,2015-08-12,2026-05-02 17:38:12
10539,Todd Sugino,4,San Francisco Unified,94104,1994-04-01,Bachelor   ,FALSE,TRUE,tsugin40@k12.ca.edu,2,32,34,Senior,TRUE,2014,45222,0,11397,12071,68690,2015-03-10,2026-05-02 17:38:12
10545,Jillian Shin,2,Compton Unified,90222,2009-10-12,Master     ,FALSE,TRUE,jshin52@k12.ca.edu,5,16,21,Mid-Senior,TRUE,2014,96441,697,0,17632,114770,2015-01-25,2026-05-02 17:38:12
10550,Ad Strachan,4,San Francisco Unified,94104,2012-06-16,Bachelor   ,TRUE,FALSE,astrac49@k12.ca.edu,3,13,16,Mid-Senior,TRUE,2014,50391,350,13211,21823,85775,2015-07-19,2026-05-02 17:38:12
